time,earning
53,3.17
90,6.05
155,7.75
147,8.05
51,2.63
30,2.23
206,7.87
128,4.88
128,5.21
161,5.85
255,9.10
157,6.42
99,3.62
42,1.79
71,2.62
62,3.15
73,3.21
59,4.63
115,6.68
80,4.45
52,2.41
43,2.00
11,0.41
12,0.61
26,1.01
21,0.77
14,0.88
20,1.03
20,0.82
48,1.56
53,1.68
36,1.16
34,1.11
10,0.34
4,0.14
26,1.11
9,0.31
5,0.18
44,1.63
56,2.03
47,1.5
25,0.91
152,5.23
33,1.53
36,1.15
19,0.63
10,0.32
49,2.07
100,3.4
36,1.39
23,0.87
20,0.8
25,1.47
18,0.66
20,0.72
42,1.4
61,2.12
64,2.11
58,2.12
131,6.46
97,3.38
161,5.12
120,3.98
62,2.3
54,2.05
79,3.57
40,1.41
22,1.22
26,0.58
116,6
873,31.17
672,23.38
623,22.15
600,25.16
552,21.28
385,15.89
376,15.49
430,19.34
392,18.16
273,15
148,9.58
32,4.31
33,3.71
8,5.28
20,5.56
21,1.01
79,2.97
27,0.88
22,0.96
6,0.34
1,0.11
11,0.59
9,0.41
1,0.44
8,0.3
4,0.2
5,0.23
26,0.94
67,2.28
6,0.34
4,0.18
115,4.04
144,6.16
118,4.94
65,2.91
75,3.09
33,1.09
10,0.46
19,1.11
6,0.47
14,0.97
14,0.52
18,1.13
13,1
7,0.9
11,1.99
10,2.15
11,0.86
114,4.76
597,26.32
452,17.54
328,12.25
280,10.95
209,9.57
187,10.01
87,4.93
68,3.29
16,2.32
21,1.93
25,2.45
21,2.71
17,2.52
49,3.47
31,5.48
75,3.74
32,2.36
52,2.71
65,4.54
87,5.09
67,8.64
62,3.56
58,3.83
68,3.4
62,7.29
85,6.71
72,4.19
56,2.94
29,1.88
37,2.68
14,2.35
11,1.33
23,2.81
6,1.85
28,2.3
31,2.36
171,7.21
159,6.58
111,5.83
106,4.13
39,1.7
46,5.59
43,2.71
26,2.42
25,1.26
20,2.19
9,1.56
67,7.1
50,2.78
50,2.73
31,2.81
27,2.16
22,1.21
53,1.89
41,1.91
38,1.71
